Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
Sainsbury's Braeburn Apple Single,0.35,,fresh_food,fruits,Sainsburys,2024,12,18,0.35,1.0,0.0,0.0
Sainsbury's Cox Apples,1.7,,fresh_food,fruits,Sainsburys,2024,12,18,0.28,1.0,0.0,0.0
Sainsbury's Baby Watermelon,2.3,,fresh_food,fruits,Sainsburys,2024,12,18,2.3,1.0,0.0,0.0
"Sainsbury's Medjool Dates, Taste the Difference 500g",5.0,4.0,fresh_food,fruits,Sainsburys,2024,12,18,10.0,0.0,1.0,0.0
"Sainsbury's Pears, Ripe & Ready x4",2.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.58,1.0,0.0,0.0
Stamford Street Co. Oranges x5,0.99,,fresh_food,fruits,Sainsburys,2024,12,18,0.2,1.0,0.0,0.0
Sainsbury's Mango 250g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,9.4,0.0,1.0,0.0
Sainsbury's Pink Lady Apple Single,0.5,,fresh_food,fruits,Sainsburys,2024,12,18,0.5,1.0,0.0,0.0
Sainsbury's Large Pineapple,1.6,,fresh_food,fruits,Sainsburys,2024,12,18,1.6,1.0,0.0,0.0
Sainsbury's Pomegranate Single,1.25,0.95,fresh_food,fruits,Sainsburys,2024,12,18,1.25,1.0,0.0,0.0
Sainsbury's Watermelon,3.5,,fresh_food,fruits,Sainsburys,2024,12,18,3.5,1.0,0.0,0.0
Sainsbury's Golden Delicious Apples x6,1.7,,fresh_food,fruits,Sainsburys,2024,12,18,0.28,1.0,0.0,0.0
Sainsbury's Cranberries 300g,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,6.67,0.0,1.0,0.0
SO Organic Easy Peelers min 500g,1.6,,fresh_food,fruits,Sainsburys,2024,12,18,3.2,0.0,1.0,0.0
"Sainsbury's Nectarines, Ripe & Ready x4",3.0,,fresh_food,fruits,Sainsburys,2024,12,18,0.75,1.0,0.0,0.0
Sainsbury's Pineapple 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
Sainsbury's Pomegranate 250g,2.6,,fresh_food,fruits,Sainsburys,2024,12,18,10.4,0.0,1.0,0.0
"Sainsbury's Ripe & Ready Pears, So Organic",2.5,2.2,fresh_food,fruits,Sainsburys,2024,12,18,0.63,1.0,0.0,0.0
Sainsbury's Jazz Apples x4,2.1,,fresh_food,fruits,Sainsburys,2024,12,18,0.53,1.0,0.0,0.0
Sainsbury's Easy Peeler (each),0.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Sainsbury's Sharon Fruit,1.5,1.2,fresh_food,fruits,Sainsburys,2024,12,18,0.5,1.0,0.0,0.0
Sainsbury's Galia Melon,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,2.0,1.0,0.0,0.0
"Sainsbury's Blueberries, Taste the Difference",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,16.67,0.0,1.0,0.0
"Sainsbury's Raspberries, Taste the Difference 150g",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,16.67,0.0,1.0,0.0
Sainsbury's Large Kiwi Fruit Single,0.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Sainsbury's Kanzi Apples x6,1.7,,fresh_food,fruits,Sainsburys,2024,12,18,0.28,1.0,0.0,0.0
Sainsbury's Cherries 250g,3.75,,fresh_food,fruits,Sainsburys,2024,12,18,15.0,0.0,1.0,0.0
"So Kiwi, Organic x4",1.5,,fresh_food,fruits,Sainsburys,2024,12,18,0.38,1.0,0.0,0.0
Sainsbury's Red Grapes 300g,1.5,,fresh_food,fruits,Sainsburys,2024,12,18,5.0,0.0,1.0,0.0
Sainsbury's Deglet Nour Dates 200g,2.5,1.5,fresh_food,fruits,Sainsburys,2024,12,18,12.5,0.0,1.0,0.0
Sainsbury's Berry Fruit Salad 240g,2.35,,fresh_food,fruits,Sainsburys,2024,12,18,9.79,0.0,1.0,0.0
Sainsbury's Mango 450g,4.0,,fresh_food,fruits,Sainsburys,2024,12,18,8.89,0.0,1.0,0.0
Sainsbury's Cashew Nuts 200g,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,15.0,0.0,1.0,0.0
Sainsbury's Walnut Halves 225g,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,13.33,0.0,1.0,0.0
Sainsbury's Watermelon 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
Sainsbury's Melon & Grape 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
Sainsbury's Royal Gala Apple Single,0.35,,fresh_food,fruits,Sainsburys,2024,12,18,0.35,1.0,0.0,0.0
"Sainsbury's Peaches, Ripe & Ready x4",3.0,,fresh_food,fruits,Sainsburys,2024,12,18,0.75,1.0,0.0,0.0
Sainsbury's Shell On Mixed Nuts 350g,3.0,2.5,fresh_food,fruits,Sainsburys,2024,12,18,8.57,0.0,1.0,0.0
Sainsbury's Ripe Mangoes x2,2.5,,fresh_food,fruits,Sainsburys,2024,12,18,1.25,1.0,0.0,0.0
"Sainsbury's White Grapes, SO Organic 400g",3.0,,fresh_food,fruits,Sainsburys,2024,12,18,7.5,0.0,1.0,0.0
Sainsbury's Peach Punnet (Min x4),2.2,,fresh_food,fruits,Sainsburys,2024,12,18,0.55,1.0,0.0,0.0
"Sainsbury's Vitoria Grape, Taste the Difference 400g",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,6.25,0.0,1.0,0.0
Sainsbury's Brazil Nuts 250g,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,12.0,0.0,1.0,0.0
"Sainsbury's Braeburn Apples, SO Organic x6",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,0.42,1.0,0.0,0.0
Sainsbury's Granny Smith Apples Single,0.35,,fresh_food,fruits,Sainsburys,2024,12,18,0.35,1.0,0.0,0.0
Sainsbury's Pistachio Nuts 200g,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,15.0,0.0,1.0,0.0
"Sainsbury's Pink Lady Apples, SO Organic x6",3.5,,fresh_food,fruits,Sainsburys,2024,12,18,0.58,1.0,0.0,0.0
Sainsbury's Chestnuts 400g,2.5,,fresh_food,fruits,Sainsburys,2024,12,18,6.25,0.0,1.0,0.0
"Sainsbury's Medjool Dates, SO Organic 200g",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,12.5,0.0,1.0,0.0
"Sainsbury's Raspberries, SO Organic 150g",2.8,,fresh_food,fruits,Sainsburys,2024,12,18,18.67,0.0,1.0,0.0
"Sainsbury's Apple, Pineapple & Grape 160g",1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
"Sainsbury's Piel De Sapo Melon, Taste the Difference",2.6,,fresh_food,fruits,Sainsburys,2024,12,18,2.6,1.0,0.0,0.0
Sainsbury’s Melon 500g,3.2,,fresh_food,fruits,Sainsburys,2024,12,18,6.4,0.0,1.0,0.0
Sainsbury's Pecan Nuts 170g,3.0,,fresh_food,fruits,Sainsburys,2024,12,18,17.65,0.0,1.0,0.0
"Sainsbury's Peanuts, Almonds & Cashew Nuts 600g",3.0,,fresh_food,fruits,Sainsburys,2024,12,18,5.0,0.0,1.0,0.0
Sainsbury’s Rocha & Packham Pears Min x5,1.5,,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Sainsbury's Giant Mango,1.7,,fresh_food,fruits,Sainsburys,2024,12,18,1.7,1.0,0.0,0.0
Sainsbury's Coconut 80g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,16.88,0.0,1.0,0.0
Sainsbury's Passion Fruit Loose,0.4,,fresh_food,fruits,Sainsburys,2024,12,18,0.4,1.0,0.0,0.0
Sainsbury's Melon Medley 160g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,8.44,0.0,1.0,0.0
